,Broadband,Cells,Servers,Exports,country
1,NA,NA,978.492172062624,1654810,Aruba
2,0.082746786,67.3505726,44.3849255508311,NA,Afghanistan
3,0.32540415,44.73497738,10.8111037287463,NA,Angola
4,10.361523,123.736096,443.020375805171,1009999,Albania
5,44.54492302,104.3812122,3417.13765997531,NA,Andorra
7,29.380717,210.9140231,1297.00126966127,NA,United Arab Emirates
8,17.71536838,139.8146002,1620.26910548591,1447746846,Argentina
9,10.76008804,119.0439694,272.654370489174,25601284,Armenia
10,NA,NA,988.479718193419,NA,American Samoa
11,8.822491472,180.3709368,833.235305650316,3183,Antigua & Barbuda
12,32.40007458,112.6886209,21544.7937676257,4322994334,Australia
13,28.74722124,170.8479228,7431.71463561626,12943326472,Austria
14,18.36883899,103.0466374,259.487663578963,9003491,Azerbaijan
15,0.036026433,54.49630416,4.60225261856668,196739,Burundi
16,38.31345058,104.6525275,8295.26796342386,30703539070,Belgium
17,0.257997447,78.50112548,4.20555613021547,2789053,Benin
18,0.064402407,93.50293242,1.92774780390449,4579874,Burkina Faso
19,4.433418983,91.66528709,63.2356576527525,NA,Bangladesh
20,25.36087224,120.4435385,32308.3256559157,1339320003,Bulgaria
21,14.31296329,158.4150038,359.778746120821,NA,Bahrain
22,21.97181816,89.42207249,1456.89635548271,NA,Bahamas
23,18.93098893,98.09148345,1432.55650029641,125615742,Bosnia & Herzegovina
24,33.40909461,120.5611904,2259.88664876024,601057800,Belarus
25,5.419009771,63.90529544,8025.49368662943,10,Belize
26,37.17746011,105.9463072,7686.31286196727,1135813,Bermuda
27,3.438379963,99.20033298,110.934163379058,19172427,Bolivia
28,13.80385336,112.9965568,1570.64697144672,9924754587,Brazil
29,24.19965071,115.3458468,769.987295209629,32094548,Barbados
30,9.612616837,127.0669027,1604.86310844256,159575567,Brunei
31,2.068696524,90.46730476,108.963484850361,NA,Bhutan
32,1.415305318,141.4078697,65.8910720215599,49682765,Botswana
33,NA,25.22792053,0.429269297801283,29204,Central African Republic
34,38.01804648,86.53568096,26447.4175891996,24220179630,Canada
36,46.12960941,130.8219143,32955.8526117666,24159696001,Switzerland
37,16.94281597,127.4632858,7425.31346086338,589579680,Chile
38,27.96630966,104.2826788,209.120055972504,504380837924,China
39,0.587884214,130.6752817,8.72616511797816,87382378,Côte d’Ivoire
40,0.175095527,83.71005458,8.73045578342184,28690439,Cameroon
41,0.001229408,43.49059653,2.5571678225475,NA,Congo - Kinshasa
42,NA,96.1079694,4.56208715487335,84282668,Congo - Brazzaville
